t_s,pressure_kpa,setpoint_kpa,valve_pct,phase,diverter,in_band
0.0,-0.038,20.0,0.6,stabilizing,0,0
0.05,-0.019,20.0,1.08,stabilizing,0,0
0.1,-0.112,20.0,2.33,stabilizing,0,0
0.15,0.227,20.0,0.58,stabilizing,0,0
0.2,0.229,20.0,1.29,stabilizing,0,0
0.25,0.155,20.0,2.51,stabilizing,0,0
0.3,-0.115,20.0,5.03,stabilizing,0,0
0.35,0.296,20.0,2.77,stabilizing,0,0
0.4,0.013,20.0,5.44,stabilizing,0,0
0.45,0.196,20.0,4.8,stabilizing,0,0
0.5,0.441,20.0,3.8,stabilizing,0,0
0.55,0.53,20.0,3.97,stabilizing,0,0
0.6,0.549,20.0,4.62,stabilizing,0,0
0.65,0.477,20.0,5.9,stabilizing,0,0
0.7,0.767,20.0,4.64,stabilizing,0,0
0.75,0.672,20.0,6.13,stabilizing,0,0
0.8,0.796,20.0,6.05,stabilizing,0,0
0.85,1.03,20.0,5.24,stabilizing,0,0
0.9,0.948,20.0,6.68,stabilizing,0,0
0.95,1.025,20.0,6.96,stabilizing,0,0
1.0,1.098,20.0,7.27,stabilizing,0,0
1.05,1.393,20.0,6.07,stabilizing,0,0
1.1,1.408,20.0,6.88,stabilizing,0,0
1.15,1.214,20.0,9.11,stabilizing,0,0
1.2,1.63,20.0,7.02,stabilizing,0,0
1.25,1.814,20.0,6.68,stabilizing,0,0
1.3,1.616,20.0,9.01,stabilizing,0,0
1.35,2.077,20.0,6.68,stabilizing,0,0
1.4,2.299,20.0,6.14,stabilizing,0,0
1.45,2.192,20.0,7.91,stabilizing,0,0
1.5,2.366,20.0,7.65,stabilizing,0,0
1.55,2.309,20.0,9.01,stabilizing,0,0
1.6,2.348,20.0,9.65,stabilizing,0,0
1.65,2.82,20.0,7.29,stabilizing,0,0
1.7,2.489,20.0,10.61,stabilizing,0,0
1.75,3.08,20.0,7.4,stabilizing,0,0
1.8,2.69,20.0,11.15,stabilizing,0,0
1.85,3.161,20.0,8.76,stabilizing,0,0
1.9,3.056,20.0,10.5,stabilizing,0,0
1.95,3.55,20.0,8.02,stabilizing,0,0
2.0,3.536,20.0,9.2,stabilizing,0,0
2.05,3.873,20.0,7.9,stabilizing,0,0
2.1,3.828,20.0,9.3,stabilizing,0,0
2.15,3.652,20.0,11.53,stabilizing,0,0
2.2,4.209,20.0,8.61,stabilizing,0,0
2.25,3.895,20.0,11.86,stabilizing,0,0
2.3,4.478,20.0,8.75,stabilizing,0,0
2.35,4.424,20.0,10.22,stabilizing,0,0
2.4,4.409,20.0,11.35,stabilizing,0,0
2.45,4.865,20.0,9.17,stabilizing,0,0
2.5,4.955,20.0,9.66,stabilizing,0,0
2.55,5.064,20.0,9.98,stabilizing,0,0
2.6,5.096,20.0,10.82,stabilizing,0,0
2.65,5.496,20.0,9.09,stabilizing,0,0
2.7,5.33,20.0,11.35,stabilizing,0,0
2.75,5.849,20.0,8.78,stabilizing,0,0
2.8,5.534,20.0,12.1,stabilizing,0,0
2.85,5.884,20.0,10.66,stabilizing,0,0
2.9,6.257,20.0,9.15,stabilizing,0,0
2.95,6.346,20.0,9.69,stabilizing,0,0
3.0,6.153,20.0,12.13,stabilizing,0,0
3.05,6.613,20.0,9.95,stabilizing,0,0
3.1,6.637,20.0,10.9,stabilizing,0,0
3.15,6.755,20.0,11.15,stabilizing,0,0
3.2,6.861,20.0,11.47,stabilizing,0,0
3.25,7.129,20.0,10.67,stabilizing,0,0
3.3,7.298,20.0,10.6,stabilizing,0,0
3.35,7.631,20.0,9.41,stabilizing,0,0
3.4,7.39,20.0,12.24,stabilizing,0,0
3.45,7.61,20.0,11.72,stabilizing,0,0
3.5,7.726,20.0,11.97,stabilizing,0,0
3.55,8.214,20.0,9.65,stabilizing,0,0
3.6,7.864,20.0,13.24,stabilizing,0,0
3.65,8.27,20.0,11.41,stabilizing,0,0
3.7,8.296,20.0,12.32,stabilizing,0,0
3.75,8.57,20.0,11.47,stabilizing,0,0
3.8,9.034,20.0,9.37,stabilizing,0,0
3.85,8.706,20.0,12.84,stabilizing,0,0
3.9,8.921,20.0,12.37,stabilizing,0,0
